completed_at_utc,module,lesson
2026-08-08T20:54:00Z,01-algebra-trigonometry,1. Welcome to the Course
2026-08-08T20:54:00Z,01-algebra-trigonometry,2. Classifying Real Numbers
2026-08-08T20:54:00Z,01-algebra-trigonometry,7. Exponents and the Order of Operations (PEMDAS)
2026-08-08T20:54:00Z,01-algebra-trigonometry,"12. Ratios, Rates, and Proportions"
2026-08-08T20:54:00Z,01-algebra-trigonometry,17. Properties of Real Numbers
2026-08-08T20:54:00Z,01-algebra-trigonometry,"23. Inequalities, the Number Line, and Interval Notation"
2026-08-08T20:54:00Z,01-algebra-trigonometry,28. Absolute Value and the Distance Between Two Points on a Number Line
2026-08-08T20:54:00Z,01-algebra-trigonometry,33. The Product and Power Rules for Exponents
2026-08-08T20:54:00Z,01-algebra-trigonometry,37. What is a Polynomial?
2026-08-08T20:54:00Z,01-algebra-trigonometry,41. Adding and Subtracting Polynomials
2026-08-08T20:54:00Z,01-algebra-trigonometry,45. Multiplying Polynomials
2026-08-08T20:54:00Z,01-algebra-trigonometry,49. Special Polynomial Products
2026-08-08T20:54:00Z,01-algebra-trigonometry,52. Dividing Polynomials
2026-08-08T20:54:00Z,01-algebra-trigonometry,55. Synthetic Division
2026-08-08T20:54:00Z,01-algebra-trigonometry,59. Factoring Out the Greatest Common Factor (GCF)
2026-08-08T20:54:00Z,01-algebra-trigonometry,62. Factoring by Grouping
2026-08-08T20:54:00Z,01-algebra-trigonometry,65. Factoring Trinomials when the Leading Coefficient is 1
2026-08-08T20:54:00Z,01-algebra-trigonometry,68. Factoring Trinomials using the AC Method
2026-08-08T20:54:00Z,01-algebra-trigonometry,71. Factoring Trinomials using Reverse FOIL (Trial and Error)
2026-08-08T20:54:00Z,01-algebra-trigonometry,74. Special Factoring
2026-08-08T20:54:00Z,01-algebra-trigonometry,77. Factoring by Substitution
2026-08-08T20:54:00Z,01-algebra-trigonometry,81. Finding the Restricted Values for a Rational Expression
2026-08-08T20:54:00Z,01-algebra-trigonometry,84. Simplifying Rational Expressions
2026-08-08T20:54:00Z,01-algebra-trigonometry,119. The Addition Property of Equality
2026-08-08T20:54:00Z,01-algebra-trigonometry,122. The Multiplication Property of Equality
2026-08-08T20:54:00Z,01-algebra-trigonometry,125. Solving Linear Equations in One Variable
2026-08-08T20:54:00Z,01-algebra-trigonometry,128. Solving Linear Equations with Fractions or Decimals
2026-08-10T19:04:00Z,01-algebra-trigonometry,90. Finding the LCD for Rational Expressions
2026-08-10T19:04:00Z,01-algebra-trigonometry,93. Adding and Subtracting Rational Expressions
2026-08-12T19:18:00Z,01-algebra-trigonometry,87. Multiplying and Dividing Rational Expressions
2026-08-12T19:18:00Z,01-algebra-trigonometry,96. Complex Rational Expressions
2026-08-12T19:18:00Z,01-algebra-trigonometry,100. Negative Exponents and the Quotient Rule
2026-08-12T19:18:00Z,01-algebra-trigonometry,103. Rational Exponents (Fractional Exponents)
2026-08-12T19:18:00Z,01-algebra-trigonometry,106. Radical Expressions
2026-08-13T19:01:00Z,01-algebra-trigonometry,109. Simplifying Radical Expressions
2026-08-13T19:01:00Z,01-algebra-trigonometry,112. Operations with Radical Expressions
2026-08-13T19:01:00Z,01-algebra-trigonometry,115. Rationalizing Denominators
2026-08-14T09:17:00Z,01-algebra-trigonometry,131. Repeating Decimal to Fraction
2026-08-14T09:17:00Z,01-algebra-trigonometry,134. Identifying Types of Equations
2026-08-14T18:38:00Z,01-algebra-trigonometry,137. Solving Proportion Equations
2026-08-14T18:38:00Z,01-algebra-trigonometry,140. Solving Literal Equations
2026-08-14T18:38:00Z,01-algebra-trigonometry,143. Solving Linear Inequalities in One Variable
2026-08-20T18:38:00Z,01-algebra-trigonometry,146. Solving a Three-Part Inequality in One Variable
2026-08-20T18:38:00Z,01-algebra-trigonometry,"149. Solving Compound Inequalities with ""and"" or ""or"""
2026-08-21T19:54:00Z,01-algebra-trigonometry,152. Solving Absolute Value Equations I
2026-08-21T19:54:00Z,01-algebra-trigonometry,155. Solving Absolute Value Inequalities I
